Фокачча с розмарином	Закуски	european	Пшеничная основа, розмарин, чесночное масло		vegetarian,vegan,lactose_free	gluten	185	587
Фокачча с томатами	Закуски	european	Пшеничная основа, помидоры черри, чесночное масло		vegetarian,vegan,lactose_free	gluten	195	546
Хлебная корзина	Закуски	european	Фокачча, оливковое масло, крем бальзамик		vegetarian,vegan,lactose_free	gluten	200	821
Дорадо	Горячее — рыба и морепродукты	european	Свежая охлажденная рыба дорадо, микс салатов, лайм, морская соль, крем бальзамик		gluten_free,lactose_free	fish	45	397
Креветки Пиль-Пиль	Горячее — рыба и морепродукты	european	Креветка тигровая, масло сливочное, паприка, перец чили, чеснок, томаты черри, петрушка, фокачча	spicy		dairy,shellfish,gluten	300	665
Паста болоньезе	Пицца и паста	italian	Спагетти, фарш говяжий, томаты пилатти, сыр пармезан, бекон свиной	big		dairy,gluten	430	816
Паста с томлёной щекой	Пицца и паста	italian	Спагетти, щечки говяжьи, мясной соус, тимьян, чеснок, сливки, соус песто, сыр пармезан	hit,chef,big	vegetarian	dairy,gluten	410	1021
Рибай Блэк Ангус	Стейки	american	Премиальный стейк породы Блэк Ангус смешанного откорма. Томат, жареная кукуруза, соль морская, паприка	hit,chef	gluten_free,lactose_free		350	687
Рябчик в глазури Джек Дениелс	Горячее — мясо	european	Свиная голяшка томленая, картофельные стрипсы, лук зеленый, соус Джек Дениелс		gluten_free,lactose_free		370	979
Свиная рулька	Горячее — мясо	european	Большая рулька на кости, квашеная капуста, медово-горчичный соус		vegetarian,vegan,gluten_free,lactose_free		100	2591
Свиной томагавк	Стейки	american	Свиная корейка, маринованная капуста, томаты		vegetarian,vegan,gluten_free,lactose_free		360	796
Сибас	Горячее — рыба и морепродукты	european	Свежая охлажденная рыба сибас, микс салатов, лайм, морская соль, крем бальзамик		gluten_free,lactose_free	fish	45	397
Стейк NY травяной	Стейки	american	Говядина травяного откорма, томат, жареная кукуруза, соль морская, паприка		gluten_free,lactose_free		250	666
Стейк Бавет (зерно)	Стейки	american	Стейк с мягким вкусом и волокнистой текстурой, томат, жареная кукуруза, соль морская, паприка	chef	gluten_free,lactose_free		250	621
Стейк из форели	Горячее — рыба и морепродукты	european	Филе форели, микс салатов, лайм, специи	light	gluten_free,lactose_free	fish	180	270
Стейк Рибай (трава)	Стейки	american	Премиальный стейк из спинной части, томат, жареная кукуруза, соль морская, паприка	hit,chef	gluten_free,lactose_free		300	1005
Стейк Стриплойн (зерно)	Стейки	american	Стейк с плотным волокном и мясным вкусом, томат, жареная кукуруза, соль морская, паприка	chef	gluten_free,lactose_free		250	621
Стейк Филе Миньон	Стейки	american	Стейк из поясничной мышцы, томат, жареная кукуруза, соль морская, паприка	hit,chef	gluten_free,lactose_free		250	621
Стейк Шато Бриан	Стейки	american	Стейк из поясничной мышцы, томат, жареная кукуруза, соль морская, паприка	hit,chef	gluten_free,lactose_free		250	621
Тартар из говядины	Закуски	italian	Вырезка говяжья, каперсы, вяленые томаты, бон багет, рукола, пармезан, песто из вяленых томатов, масло оливковое	chef		dairy,gluten	110	436
Тартар из форели	Горячее — рыба и морепродукты	european	Филе форели, огурец свежий, авокадо, томаты розовые, лайм, перец чили, соевый соус, кинза, масло кунжутное, имбирь	spicy,light	gluten_free,lactose_free	fish,soy,sesame	200	280
Утка конфи с печеными яблоками	Горячее — мясо	french	Утиная ножка, яблоки, мед, брусника, салат рукола, орех кедровый, масло сливочное, уксус яблочный, сахар	hit,chef	gluten_free	dairy,nuts	300	1276
Шашлык из говядины	Горячее — мясо	european	Говядина, лаваш, кинза, маринованный лук		gluten_free,lactose_free		180	386
Щёки с картофельным пюре	Горячее — мясо	european	Картофельное пюре, щечки говяжьи, мясной соус, томаты черри, лук зеленый, масло сливочное, сливки		vegetarian,gluten_free	dairy	390	1050
Брискет	Стейки	american	Грудинка говяжья томленая, капуста маринованная, огурцы маринованные, соус сальса, горчица дижонская	chef	gluten_free,lactose_free	mustard	350	780
Пиканья на пите	Стейки	american	Мраморная говядина, лепешка пита, соус сальса, сметана, лайм, кинза			dairy,gluten	300	792
Ребра Кальби	Стейки	american	Ребро говяжье томленое, соус мясной, соус брусничный, зелень	chef,big	gluten_free,lactose_free		420	1062
Стейк Фланк	Стейки	american	Отруб из пашины быка, томат, жареная кукуруза, специи		gluten_free,lactose_free		250	531
Топ Сирлойн	Стейки	american	Верхняя часть тазобедренного отруба, томат, жареная кукуруза, специи		vegetarian,vegan,gluten_free,lactose_free		250	621
Бургер Jack Daniel’s	Бургеры	american	Томленая говядина, карамелизированный лук, соус Jack Daniel’s, лук фри, соус блю чиз, сыр чеддер, булочка			dairy,gluten	280	
Бургер THE БЫК	Бургеры	american	Премиальная котлета Блэк Ангус, карамелизированный лук, соус бургер, сыр чеддер, перец халапеньо, булочка	spicy,hit,chef		dairy,gluten	270	901
Бургер Вишневый бизон	Бургеры	american	Премиальная котлета Блэк Ангус, жареный бекон, жареный лук, сыр чеддер, вишня с прованскими травами, соус блю чиз, булочка			dairy,gluten	280	
Бургер с креветками	Бургеры	american	Дальневосточные креветки, помидоры, луковые кольца, салат романо, салат айсберг, соус 1000 островов, булочка		lactose_free	shellfish,gluten,soy	210	
Чизбургер	Бургеры	american	Премиальная котлета Блэк Ангус, огурцы корнишоны, сыр чеддер, помидоры, соус барбекю, салат романо, салат айсберг, булочка			dairy,gluten	280	
Брокколи	Гарниры	european	Микс салатов, смесь пяти перцев, морская соль, оливковое масло		vegetarian,vegan,gluten_free,lactose_free		225	121
Картофель батат фри	Гарниры	european	Батат фри, соус блю чиз		vegetarian,vegan,gluten_free,lactose_free		230	
Картофель Диппер	Гарниры	european	Картофель, майонез, соус Jack Daniel’s		vegetarian,gluten_free,lactose_free	eggs	270	
Картофель по-деревенски	Гарниры	european	Большая порция картофеля бейби, кетчуп		vegetarian,vegan,gluten_free,lactose_free		300	
Картофель фри	Гарниры	european	Большая порция картофеля фри, кетчуп		vegetarian,vegan,gluten_free,lactose_free		300	
Картофель фри с пармезаном	Гарниры	italian	Картофель фри, сыр пармезан, трюфельное масло, соус блю чиз		vegetarian,gluten_free	dairy	200	
Картофельное пюре	Гарниры	european	Картофель, масло сливочное, молоко		vegetarian,gluten_free	dairy	200	
Овощи гриль	Гарниры	european	Помидоры, грибы, цукини, баклажаны, лук красный, перец болгарский, микс салатов, крем бальзамик		vegetarian,vegan,gluten_free,lactose_free		350	
Рис с овощами	Гарниры	european	Рис, баклажаны, кабачки, шампиньоны, перец болгарский, лук красный, соевый соус, кунжутное масло, кинза, чесночное масло		vegetarian,vegan,gluten_free,lactose_free	soy,sesame	250	
1000 островов	Соусы	european	Соус		vegetarian,vegan,gluten_free,lactose_free		40	143
Jack Daniel’s	Соусы	european	Соус		vegetarian,vegan,gluten_free,lactose_free		40	
Барбекю	Соусы	european	Соус		vegetarian,vegan,gluten_free,lactose_free		40	51
Блю чиз	Соусы	european	Соус		vegetarian,vegan,gluten_free,lactose_free		40	190
Грибной соус	Соусы	european	Соус		vegetarian,vegan,gluten_free,lactose_free		40	68
Кетчуп	Соусы	european	Соус		vegetarian,vegan,gluten_free,lactose_free		40	42
Медово-горчичный	Соусы	european	Соус		vegetarian,vegan,gluten_free,lactose_free		40	251
Перечный	Соусы	european	Соус		vegetarian,vegan,gluten_free,lactose_free		40	61
Сальса	Соусы	european	Соус		vegetarian,vegan,gluten_free,lactose_free		40	28
Сладкий чили	Соусы	european	Соус	spicy	vegetarian,vegan,gluten_free,lactose_free		40	90
Соус Black Pepper	Соусы	european	Соус		vegetarian,vegan,gluten_free,lactose_free		40	
Соус брусничный с розмарином	Соусы	european	Соус		vegetarian,vegan,gluten_free,lactose_free		40	60
Медовик	Десерты	european	Медовые коржи, сметанный крем, шоколадная печать, мёд гречишный		vegetarian,gluten_free	dairy	190	741
Мороженое	Десерты	european	В ассортименте	light	vegetarian,vegan,gluten_free,lactose_free		150	312
Панна-Котта с клубничным соусом	Десерты	european	Сливки, кокосовое молоко, сахар ванильный, желатин, клубничный соус, мята, кокосовая стружка		vegetarian,gluten_free	dairy	180	391
Фисташковый рулет	Десерты	european	Меренга, сливочный крем, фисташки, соус малиновый		vegetarian,vegan,gluten_free,lactose_free	nuts	110	418
Чизкейк баскский	Десерты	european	Сырная основа, песочный корж, чипсы апельсина, соленая карамель		vegetarian,gluten_free	dairy	210	1098
Шоколадный Фондан	Десерты	european	Подается с шариком мороженого и шоколадным топпингом	light	vegetarian,vegan,gluten_free,lactose_free		100	316
Айс Латте Карамель-Бузина	Напитки безалкогольные	european	Напиток кофе	coffee	vegetarian,vegan,gluten_free,lactose_free			
Американо	Напитки безалкогольные	european	Кофе	coffee	vegetarian,vegan,gluten_free,lactose_free			
Бамбл апельсин	Напитки безалкогольные	european	Кофейный напиток	coffee	vegetarian,vegan,gluten_free,lactose_free			
Бамбл гранат	Напитки безалкогольные	european	Кофейный напиток	coffee	vegetarian,vegan,gluten_free,lactose_free			
Гляссе	Напитки безалкогольные	european	Кофе	coffee	vegetarian,vegan,gluten_free,lactose_free			
Горячий шоколад	Напитки безалкогольные	european	Горячий шоколад	coffee	vegetarian,vegan,gluten_free,lactose_free			
Двойной эспрессо	Напитки безалкогольные	european	Кофе	coffee	vegetarian,vegan,gluten_free,lactose_free			
Капучино	Напитки безалкогольные	european	Кофе	coffee	vegetarian,vegan,gluten_free,lactose_free			
Латте	Напитки безалкогольные	european	Кофе	coffee	vegetarian,vegan,gluten_free,lactose_free			
Раф	Напитки безалкогольные	european	Кофе	coffee	vegetarian,vegan,gluten_free,lactose_free			
Фильтр-Кофе	Напитки безалкогольные	european	Кофе	coffee	vegetarian,vegan,gluten_free,lactose_free			
Флэт Уайт	Напитки безалкогольные	european	Кофе	coffee	vegetarian,vegan,gluten_free,lactose_free			
Эспрессо	Напитки безалкогольные	european	Кофе	coffee	vegetarian,vegan,gluten_free,lactose_free			
Какао с маршмелоу	Напитки безалкогольные	european	Банановое / кокосовое молоко	coffee	vegetarian,gluten_free	dairy		
Капучино на альт. молоке	Напитки безалкогольные	european	Банановое / кокосовое молоко	coffee	vegetarian,gluten_free	dairy		
Латте на альт. молоке	Напитки безалкогольные	european	Банановое / кокосовое молоко	coffee	vegetarian,gluten_free	dairy		
Ассам	Напитки безалкогольные	european	Чай	tea	vegetarian,vegan,gluten_free,lactose_free			24
Гречишный	Напитки безалкогольные	european	Чай	tea	vegetarian,vegan,gluten_free,lactose_free			24
Жасминовый	Напитки безалкогольные	european	Чай	tea	vegetarian,vegan,gluten_free,lactose_free			24
Манго & Имбирь & Кафирский лайм	Напитки безалкогольные	european	Авторский чай	tea	vegetarian,vegan,gluten_free,lactose_free			110
Мандарин&Чёрная смородина	Напитки безалкогольные	european	Авторский чай	tea	vegetarian,vegan,gluten_free,lactose_free			110
Молочный улун	Напитки безалкогольные	european	Чай	tea	vegetarian,vegan,gluten_free,lactose_free			24
Облепиха&Груша	Напитки безалкогольные	european	Авторский чай	tea	vegetarian,vegan,gluten_free,lactose_free			110
Ромашковый	Напитки безалкогольные	european	Чай	tea	vegetarian,vegan,gluten_free,lactose_free			24
Сенча	Напитки безалкогольные	european	Чай	tea	vegetarian,vegan,gluten_free,lactose_free			24
Таёжный	Напитки безалкогольные	european	Чай	tea	vegetarian,vegan,gluten_free,lactose_free			24
Фруктовый пунш	Напитки безалкогольные	european	Чай	tea	vegetarian,vegan,gluten_free,lactose_free			24
Цейлонский с чабрецом	Напитки безалкогольные	european	Чай	tea	vegetarian,vegan,gluten_free,lactose_free			24
Б/А Number one / №1	Напитки безалкогольные	european	Драгонфрукт, личи, кардамон, содовая, лёд	lemonade	vegetarian,vegan,gluten_free,lactose_free			72
Вишня & Миндаль	Напитки безалкогольные	european	Лимонад	lemonade	vegetarian,vegan,gluten_free,lactose_free	nuts		
Лимонад Кола по-русски	Напитки безалкогольные	european	Только в Безлимите	lemonade	vegetarian,vegan,gluten_free,lactose_free			
Лимонад Крем Сливки	Напитки безалкогольные	european	Только в Безлимите	lemonade	vegetarian,gluten_free	dairy		
Лимонад Малина&Маракуйя	Напитки безалкогольные	european	Лимонад	lemonade	vegetarian,vegan,gluten_free,lactose_free			
Лимонад Тархун	Напитки безалкогольные	european	Только в Безлимите	lemonade	vegetarian,vegan,gluten_free,lactose_free			
Лимонад Щавель Клубника	Напитки безалкогольные	european	Только в Безлимите	lemonade	vegetarian,vegan,gluten_free,lactose_free			
Лимонад Яблоко-киви	Напитки безалкогольные	european	Лимонад	lemonade	vegetarian,vegan,gluten_free,lactose_free			
Свежий Мандарин	Напитки безалкогольные	european	Лимонад	lemonade	vegetarian,vegan,gluten_free,lactose_free			
Б/А Number two / №2	Напитки безалкогольные	european	Манго, маракуйя, кокос, содовая, лёд	lemonade	vegetarian,vegan,gluten_free,lactose_free			72
Б/А Number three / №3	Напитки безалкогольные	european	Васильки, черёмуха, голубика, содовая, лёд	lemonade	vegetarian,vegan,gluten_free,lactose_free			72
Лимонад Лесная ягода	Напитки безалкогольные	european	Лимонад	lemonade	vegetarian,vegan,gluten_free,lactose_free			
Глинтвейн б/а	Напитки безалкогольные	european	Вишневый сок, яблоко, апельсин, корица, гвоздика, мёд		vegetarian,vegan,gluten_free,lactose_free			
Desalcoholized Red Albali Cabernet Tempranillo	Напитки алкогольные	european	Красное Б/А, Испания, Кастилия Ла Манча	wine	vegetarian,vegan,gluten_free,lactose_free			
Desalcoholized White Vina Albali Sparkling White, 2023	Напитки алкогольные	european	Белое Б/А, Испания, Кастилия Ла Манча	wine	vegetarian,vegan,gluten_free,lactose_free			
Hans Baer Riesling, Weinkellerei Hechtsheim	Напитки алкогольные	european	Рислинг безалкогольный	wine	vegetarian,vegan,gluten_free,lactose_free			
Б/А Pabst	Напитки алкогольные	european	Пиво Б/А	beer	vegetarian,vegan,gluten_free,lactose_free			
Вишневый Эль «The Бык»	Напитки алкогольные	european	Пиво	beer	vegetarian,vegan,gluten_free,lactose_free			
Нефильтрованное «THE БЫК»	Напитки алкогольные	european	Пиво	beer	vegetarian,vegan,gluten_free,lactose_free			
Сидр «THE БЫК»	Напитки алкогольные	european	Сидр	beer	vegetarian,vegan,gluten_free,lactose_free			
Темное «THE БЫК»	Напитки алкогольные	european	Пиво	beer	vegetarian,vegan,gluten_free,lactose_free			
Ячменный лагер «THE БЫК»	Напитки алкогольные	european	Пиво	beer	vegetarian,vegan,gluten_free,lactose_free			
Апероль number one / №1	Напитки безалкогольные	european	Минеральная вода, Апероль Б/А, апельсин		vegetarian,vegan,gluten_free,lactose_free			
Апероль number one / №2	Напитки безалкогольные	european	Сидр яблочный, Апероль Б/А, апельсин, лёд		vegetarian,vegan,gluten_free,lactose_free			
